instance, algorithm, value, finalPermutation, runningTime, initialValue, steps, evaluatedSolutions
esc32f,greedy-3swap, 2, [27 15 5 14 20 1 12 28 4 32 13 21 7 8 2 24 26 25 11 29 17 23 18 10 16 31 30 22 6 19 9 3] ,500, 74, 7, 257 
esc32f,greedy-3swap, 2, [31 16 7 30 22 2 24 27 18 21 19 6 5 1 28 23 11 13 20 14 8 32 17 3 10 25 15 9 26 12 4 29] ,477, 34, 4, 157 
esc32f,greedy-3swap, 2, [5 1 16 3 13 22 10 29 28 12 9 15 23 24 19 4 30 31 26 32 7 14 2 6 18 21 17 20 27 8 11 25] ,502, 18, 4, 95 
esc32f,greedy-3swap, 2, [2 22 3 4 18 15 23 25 32 27 30 21 28 12 26 29 9 6 31 14 11 10 24 13 20 8 1 5 17 7 16 19] ,504, 30, 4, 100 
esc32f,greedy-3swap, 2, [28 13 19 10 26 3 22 4 2 8 7 24 23 31 15 27 20 30 6 29 12 9 18 11 32 17 14 21 25 5 1 16] ,490, 34, 5, 144 
esc32f,greedy-3swap, 2, [26 22 11 29 32 6 17 5 1 18 31 23 16 15 28 20 7 8 19 4 12 21 25 10 3 2 14 13 30 24 27 9] ,495, 66, 7, 115 
esc32f,greedy-3swap, 2, [27 8 32 30 19 23 26 4 10 16 24 13 25 17 31 28 3 2 18 1 29 6 15 9 7 20 21 14 5 12 11 22] ,525, 40, 6, 599 
esc32f,greedy-3swap, 2, [12 19 14 11 20 23 21 18 30 6 7 8 13 9 2 3 22 27 29 31 16 24 26 25 17 4 28 10 5 15 1 32] ,479, 46, 7, 145 
esc32f,steepest-3swap, 2, [15 6 3 30 19 21 10 1 2 20 9 29 18 26 27 16 17 8 14 24 12 28 5 32 4 11 25 22 31 7 23 13] ,988, 26, 1, 10416 
esc32f,steepest-3swap, 2, [4 31 25 7 21 29 22 12 24 20 13 10 19 23 9 26 11 3 30 1 14 27 17 15 18 6 28 5 8 2 16 32] ,1465, 30, 2, 20832 
esc32f,steepest-3swap, 2, [28 17 30 22 25 5 2 8 9 6 20 18 23 7 21 12 4 14 1 10 26 19 27 16 11 3 15 13 24 29 31 32] ,1488, 66, 2, 20832 
esc32f,steepest-3swap, 2, [13 25 31 7 1 15 18 12 19 27 6 22 2 4 32 21 10 29 20 30 17 16 8 9 23 24 26 28 5 14 3 11] ,1510, 58, 2, 20832 
esc32f,steepest-3swap, 2, [10 17 31 29 12 27 20 9 22 28 16 2 5 6 7 3 11 14 24 30 8 19 26 21 18 4 1 15 23 25 32 13] ,1921, 62, 3, 31248 
esc32f,steepest-3swap, 2, [31 25 29 19 30 23 2 14 18 13 22 3 21 5 32 20 6 15 1 11 10 26 12 9 17 28 7 4 24 27 8 16] ,1883, 62, 3, 31248 
esc32f,steepest-3swap, 2, [6 16 5 18 31 2 3 20 23 10 25 13 9 1 15 24 28 27 7 19 26 14 12 21 30 32 11 29 17 4 22 8] ,1428, 44, 2, 20832 
esc32f,steepest-3swap, 2, [8 15 1 5 11 4 14 29 13 23 19 18 7 3 31 22 30 12 16 28 27 25 6 20 24 26 9 21 32 17 2 10] ,1411, 54, 2, 20832 
esc32f,steepest-3swap, 2, [27 26 14 3 21 29 8 9 20 32 19 15 17 25 18 7 13 16 24 12 22 1 10 11 4 28 23 2 30 6 31 5] ,2424, 74, 4, 41664 
esc32f,steepest-3swap, 2, [10 9 19 15 32 2 30 25 14 21 16 11 4 8 20 23 26 1 22 5 13 31 12 24 18 27 7 28 6 3 29 17] ,1891, 58, 3, 31248 
