instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
had12, greedy-2swap, 1682, 6, 1934, 17, 397 
had12, greedy-3swap, 1662, 14, 1836, 12, 413 
had12, greedy-3swap, 1684, 12, 1824, 11, 200 
had12, greedy-3swap, 1652, 23, 1938, 18, 771 
had12, greedy-3swap, 1678, 14, 1800, 14, 1021 
had12, greedy-3swap, 1678, 17, 1878, 21, 599 
had12, greedy-3swap, 1676, 20, 1896, 16, 860 
had12, greedy-3swap, 1660, 16, 1926, 24, 535 
had12, greedy-3swap, 1656, 21, 1774, 11, 1183 
had12, greedy-3swap, 1676, 13, 1940, 21, 593 
had12, greedy-3swap, 1654, 13, 1968, 27, 559 
had12, steepest-2swap, 1680, 7, 1924, 6, 396 
had12, steepest-2swap, 1656, 7, 1894, 9, 594 
had12, steepest-2swap, 1672, 4, 1902, 6, 396 
had12, steepest-2swap, 1682, 5, 1916, 8, 528 
had12, steepest-2swap, 1684, 8, 1970, 10, 660 
had12, steepest-2swap, 1660, 5, 1836, 7, 462 
had12, steepest-2swap, 1674, 11, 1900, 10, 660 
had12, steepest-2swap, 1660, 8, 1874, 7, 462 
had12, steepest-2swap, 1696, 5, 1842, 6, 396 
had12, steepest-2swap, 1660, 18, 1956, 8, 528 
had12, steepest-3swap, 1676, 29, 1912, 3, 1518 
had12, steepest-3swap, 1676, 37, 1802, 5, 2530 
had12, steepest-3swap, 1678, 37, 1906, 5, 2530 
had12, steepest-3swap, 1688, 41, 1950, 4, 2024 
had12, steepest-3swap, 1676, 40, 1874, 5, 2530 
had12, steepest-3swap, 1682, 44, 1870, 5, 2530 
had12, steepest-3swap, 1656, 63, 1928, 7, 3542 
had12, steepest-3swap, 1666, 58, 1786, 7, 3542 
had12, steepest-3swap, 1680, 29, 1904, 3, 1518 
had12, steepest-3swap, 1680, 26, 1838, 4, 2024
had12, tabu-2swap, 1674, 185, 1822, 300, 19800 
had12, tabu-2swap, 1678, 188, 1890, 300, 19800 
had12, tabu-2swap, 1676, 189, 1802, 300, 19800 
had12, tabu-2swap, 1676, 169, 1892, 300, 19800 
had12, tabu-2swap, 1666, 194, 1920, 300, 19800 
had12, tabu-2swap, 1664, 177, 1822, 300, 19800 
had12, tabu-2swap, 1664, 177, 1922, 300, 19800 
had12, tabu-2swap, 1660, 191, 1924, 300, 19800 
had12, tabu-2swap, 1662, 178, 1952, 300, 19800 
had12, tabu-2swap, 1670, 187, 1904, 300, 19800 
had12, tabu-3swap, 1674, 1387, 1884, 300, 151800 
had12, tabu-3swap, 1670, 1403, 1856, 300, 151800 
had12, tabu-3swap, 1656, 1439, 1802, 300, 151800 
had12, tabu-3swap, 1656, 1392, 1894, 300, 151800 
had12, tabu-3swap, 1652, 1414, 1854, 300, 151800 
had12, tabu-3swap, 1656, 1421, 1990, 300, 151800 
had12, tabu-3swap, 1656, 1381, 1908, 300, 151800 
had12, tabu-3swap, 1656, 1381, 1936, 300, 151800 
had12, tabu-3swap, 1678, 1423, 1868, 300, 151800 
had12, tabu-3swap, 1654, 1372, 1834, 300, 151800 
bur26a, random, 5560245, 514, -1, -1, -1 
bur26a, random, 5604263, 500, -1, -1, -1 
bur26a, random, 5574860, 500, -1, -1, -1 
bur26a, random, 5590192, 500, -1, -1, -1 
bur26a, random, 5558852, 500, -1, -1, -1 
bur26a, random, 5557969, 500, -1, -1, -1 
bur26a, random, 5556544, 500, -1, -1, -1 
bur26a, random, 5574350, 500, -1, -1, -1 
bur26a, random, 5583017, 500, -1, -1, -1 
bur26a, random, 5589146, 500, -1, -1, -1
bur26a, heuristic, 6002852, 212, -1, -1, -1 
bur26a, heuristic, 6002852, 14, -1, -1, -1 
bur26a, heuristic, 6002852, 11, -1, -1, -1 
bur26a, heuristic, 6002852, 6, -1, -1, -1 
bur26a, heuristic, 6002852, 4, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 6, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, greedy-2swap, 5448289, 534, 5847659, 78, 4046 
bur26a, greedy-2swap, 5437225, 312, 5866774, 96, 6025 
bur26a, greedy-2swap, 5443413, 321, 5779916, 102, 7011 
bur26a, greedy-2swap, 5452043, 267, 6153604, 112, 6105 
bur26a, greedy-2swap, 5445606, 259, 5939601, 97, 5796 
bur26a, greedy-2swap, 5438137, 179, 6168188, 91, 3655 
bur26a, greedy-2swap, 5463978, 323, 5958174, 83, 6317 
bur26a, greedy-2swap, 5443342, 322, 6038053, 90, 6322 
bur26a, greedy-2swap, 5455946, 246, 5896165, 91, 5347 
bur26a, greedy-2swap, 5438914, 198, 5973276, 87, 4540 
bur26a, greedy-3swap, 5442135, 640, 5785548, 79, 6078 
bur26a, greedy-3swap, 5452610, 811, 5799335, 110, 12709 
bur26a, greedy-3swap, 5453970, 510, 5993002, 114, 6308 
bur26a, greedy-3swap, 5434555, 733, 5980933, 123, 12565 
bur26a, greedy-3swap, 5434874, 848, 5796365, 108, 16109 
bur26a, greedy-3swap, 5443531, 872, 5903972, 103, 16710 
bur26a, greedy-3swap, 5438430, 535, 5642785, 83, 7905 
bur26a, greedy-3swap, 5437626, 615, 6008408, 89, 10305 
bur26a, greedy-3swap, 5451580, 567, 6071393, 113, 8462 
bur26a, greedy-3swap, 5438425, 596, 5812314, 102, 9230 
bur26a, steepest-2swap, 5446760, 321, 5797325, 18, 5850 
bur26a, steepest-2swap, 5439363, 429, 6184620, 34, 11050 
bur26a, steepest-2swap, 5426670, 300, 6011547, 24, 7800 
bur26a, steepest-2swap, 5436129, 368, 6080850, 30, 9750 
bur26a, steepest-2swap, 5435638, 311, 5893926, 25, 8125 
bur26a, steepest-2swap, 5448550, 248, 5927950, 20, 6500 
bur26a, steepest-2swap, 5436174, 219, 5881374, 17, 5525 
bur26a, steepest-2swap, 5437205, 235, 6100269, 18, 5850 
bur26a, steepest-2swap, 5442852, 280, 5861648, 22, 7150 
bur26a, steepest-2swap, 5440178, 313, 5999031, 24, 7800 
bur26a, steepest-3swap, 5437205, 3453, 6024600, 15, 82875 
bur26a, steepest-3swap, 5436426, 3047, 5921977, 14, 77350 
bur26a, steepest-3swap, 5435457, 2865, 5901913, 13, 71825 
bur26a, steepest-3swap, 5435532, 3239, 5718834, 15, 82875 
bur26a, steepest-3swap, 5446720, 3149, 6106634, 14, 77350 
bur26a, steepest-3swap, 5438387, 3250, 5846415, 14, 77350 
bur26a, steepest-3swap, 5432763, 2966, 6194412, 13, 71825 
bur26a, steepest-3swap, 5432696, 5699, 5884697, 25, 138125 
bur26a, steepest-3swap, 5432311, 3086, 6143240, 13, 71825 
bur26a, steepest-3swap, 5447678, 3020, 6140361, 13, 71825 
bur26a, tabu-2swap, 5438605, 3911, 6024390, 300, 97500 
bur26a, tabu-2swap, 5438995, 3792, 5780269, 300, 97500 
bur26a, tabu-2swap, 5447043, 3756, 5734165, 300, 97500 
bur26a, tabu-2swap, 5449592, 3733, 5893600, 300, 97500 
bur26a, tabu-2swap, 5438146, 3738, 5885842, 300, 97500 
bur26a, tabu-2swap, 5433300, 3698, 6087057, 300, 97500 
bur26a, tabu-2swap, 5443652, 3754, 5932804, 300, 97500 
bur26a, tabu-2swap, 5449549, 3772, 6039156, 300, 97500 
bur26a, tabu-2swap, 5451115, 3731, 6070346, 300, 97500 
bur26a, tabu-2swap, 5464641, 3876, 5808147, 300, 97500 
bur26a, tabu-3swap, 5427776, 61594, 6046526, 300, 1657500 
bur26a, tabu-3swap, 5438402, 61236, 6313824, 300, 1657500 
bur26a, tabu-3swap, 5438547, 61412, 5952497, 300, 1657500 
bur26a, tabu-3swap, 5432763, 61388, 5781114, 300, 1657500 
bur26a, tabu-3swap, 5432458, 60394, 6055219, 300, 1657500 
bur26a, tabu-3swap, 5438206, 60681, 5993610, 300, 1657500 
bur26a, tabu-3swap, 5439337, 60058, 6099374, 300, 1657500 
bur26a, tabu-3swap, 5435935, 59711, 5939849, 300, 1657500 
bur26a, tabu-3swap, 5427776, 59849, 5869254, 300, 1657500 
bur26a, tabu-3swap, 5427776, 60366, 5805154, 300, 1657500 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 2, 175, -1, -1, -1 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 2, 175, -1, -1, -1 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 6, 175, -1, -1, -1 
esc32f, random, 2, 175, -1, -1, -1 
esc32f, random, 2, 175, -1, -1, -1 
esc32f, heuristic, 14, 6, -1, -1, -1 
esc32f, heuristic, 14, 3, -1, -1, -1 
esc32f, heuristic, 14, 3, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 2, -1, -1, -1 
esc32f, heuristic, 14, 1, -1, -1, -1 
esc32f, greedy-2swap, 2, 64, 84, 12, 445 
esc32f, greedy-2swap, 2, 36, 66, 7, 131 
esc32f, greedy-2swap, 2, 49, 38, 4, 170 
esc32f, greedy-2swap, 2, 47, 76, 8, 209 
esc32f, greedy-2swap, 2, 38, 50, 6, 324 
esc32f, greedy-2swap, 2, 35, 44, 4, 276 
esc32f, greedy-2swap, 2, 39, 72, 9, 353 
esc32f, greedy-2swap, 2, 35, 36, 5, 252 
esc32f, greedy-2swap, 2, 32, 38, 5, 212 
esc32f, greedy-2swap, 2, 33, 80, 8, 207 
esc32f, greedy-3swap, 2, 510, 28, 4, 76 
esc32f, greedy-3swap, 2, 495, 72, 6, 132 
esc32f, greedy-3swap, 2, 512, 54, 7, 427 
esc32f, greedy-3swap, 2, 487, 68, 8, 108 
esc32f, greedy-3swap, 2, 511, 50, 7, 107 
esc32f, greedy-3swap, 2, 482, 34, 3, 38 
esc32f, greedy-3swap, 2, 475, 50, 7, 167 
esc32f, greedy-3swap, 2, 495, 18, 4, 130 
esc32f, greedy-3swap, 2, 520, 32, 4, 173 
esc32f, greedy-3swap, 2, 509, 42, 5, 212 
esc32f, steepest-2swap, 2, 90, 36, 3, 1488 
esc32f, steepest-2swap, 2, 89, 46, 3, 1488 
esc32f, steepest-2swap, 2, 93, 56, 3, 1488 
esc32f, steepest-2swap, 2, 99, 64, 3, 1488 
esc32f, steepest-2swap, 2, 122, 62, 4, 1984 
esc32f, steepest-2swap, 2, 113, 72, 4, 1984 
esc32f, steepest-2swap, 2, 73, 52, 2, 992 
esc32f, steepest-2swap, 2, 94, 32, 3, 1488 
esc32f, steepest-2swap, 2, 92, 52, 3, 1488 
esc32f, steepest-2swap, 2, 123, 66, 4, 1984 
esc32f, steepest-3swap, 2, 1459, 30, 2, 20832 
esc32f, steepest-3swap, 2, 2096, 62, 3, 31248 
esc32f, steepest-3swap, 2, 1949, 34, 3, 31248 
esc32f, steepest-3swap, 2, 1435, 52, 2, 20832 
esc32f, steepest-3swap, 2, 1463, 32, 2, 20832 
esc32f, steepest-3swap, 2, 1483, 38, 2, 20832 
esc32f, steepest-3swap, 2, 1954, 66, 3, 31248 
esc32f, steepest-3swap, 2, 1952, 46, 3, 31248 
